Week.Ending.Date,Area,Metric,age_0_17,age_18_19,age_18_49,age_20_29,age_30_39,age_40_49,age_50_59,age_50_64,age_60_69,age_65plus,age_70_79,age_80plus,age_unknown
2020-03-07,Region 1,Case Count,0,0,<5,0,<5,0,<5,<5,<5,<5,0,0,0
2020-03-07,Region 1,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,Region 1,Hospitalization,0,0,0,0,0,0,0,0,<5,<5,0,0,0
2020-03-07,Region 2N,Case Count,<5,0,33,<5,8,22,13,23,16,29,10,<5,0
2020-03-07,Region 2N,Deaths,0,0,<5,0,<5,0,<5,5,5,12,<5,<5,0
2020-03-07,Region 2N,Hospitalization,0,0,12,<5,<5,7,6,12,11,22,8,<5,0
2020-03-07,Region 2S,Case Count,0,0,23,<5,9,12,23,27,11,31,14,6,0
2020-03-07,Region 2S,Deaths,0,0,<5,0,0,<5,<5,<5,<5,8,<5,<5,0
2020-03-07,Region 2S,Hospitalization,0,0,9,0,<5,7,12,14,6,21,9,6,0
2020-03-07,Region 3,Case Count,0,<5,5,<5,<5,<5,<5,<5,<5,5,<5,<5,0
2020-03-07,Region 3,Deaths,0,0,0,0,0,0,0,0,0,<5,<5,0,0
2020-03-07,Region 3,Hospitalization,0,<5,<5,0,<5,<5,<5,<5,<5,<5,<5,<5,0
2020-03-07,Region 5,Case Count,0,0,0,0,0,0,0,0,<5,<5,0,<5,0
2020-03-07,Region 5,Deaths,0,0,0,0,0,0,0,0,0,<5,0,<5,0
2020-03-07,Region 5,Hospitalization,0,0,0,0,0,0,0,0,0,<5,0,<5,0
2020-03-07,Region 6,Case Count,0,0,6,<5,<5,<5,0,<5,<5,5,<5,0,0
2020-03-07,Region 6,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,Region 6,Hospitalization,0,0,<5,0,<5,<5,0,<5,<5,<5,0,0,0
2020-03-07,Region 7,Case Count,0,0,<5,<5,0,0,<5,<5,<5,<5,<5,0,0
2020-03-07,Region 7,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,Region 7,Hospitalization,0,0,0,0,0,0,0,0,0,<5,<5,0,0
2020-03-07,Region 8,Case Count,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,Region 8,Deaths,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-07,Region 8,Hospitalization,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-14,Region 1,Case Count,<5,<5,36,6,13,15,20,25,8,19,6,5,0
2020-03-14,Region 1,Deaths,0,0,0,0,0,0,<5,<5,0,<5,<5,<5,0
2020-03-14,Region 1,Hospitalization,<5,0,<5,0,0,<5,5,6,<5,7,<5,<5,0
2020-03-14,Region 2N,Case Count,7,<5,248,49,72,123,157,221,135,225,65,25,0
